pid,user,database,event_type,session_duration_sec,query_command,query_text,timestamp
7002,[unknown],[unknown],LOG,0.0,,,2025-10-04 20:59:26.038+07
7002,[unknown],[unknown],LOG,0.0,,,2025-10-04 20:59:26.038+07
7002,[unknown],[unknown],LOG,0.0,,,2025-10-04 20:59:26.041+07
7009,[unknown],[unknown],LOG,0.0,,,2025-10-04 20:59:26.092+07
7002,[unknown],[unknown],LOG,0.0,,,2025-10-04 20:59:26.121+07
7013,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 20:59:26.710+07
7016,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 20:59:27.262+07
7016,postgres,template1,LOG,0.0,,,2025-10-04 20:59:27.268+07
7016,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 20:59:27.268+07
7016,postgres,template1,DISCONNECT,0.083,,,2025-10-04 20:59:27.344+07
7019,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 20:59:27.876+07
7019,postgres,template1,LOG,0.0,,,2025-10-04 20:59:27.882+07
7019,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 20:59:27.882+07
7019,postgres,template1,DISCONNECT,0.016,,,2025-10-04 20:59:27.892+07
7022,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 20:59:28.415+07
7022,postgres,template1,LOG,0.0,,,2025-10-04 20:59:28.416+07
7022,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 20:59:28.416+07
7022,postgres,template1,DISCONNECT,0.008,,,2025-10-04 20:59:28.424+07
7025,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 20:59:40.209+07
7025,posgres,hodaoty,LOG,0.0,,,2025-10-04 20:59:40.209+07
7025,posgres,hodaoty,LOG,0.0,,,2025-10-04 20:59:40.209+07
7025,posgres,hodaoty,FATAL,0.0,,,2025-10-04 20:59:40.211+07
7025,posgres,hodaoty,DETAIL,0.0,,,2025-10-04 20:59:40.211+07
7031,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 20:59:49.319+07
7031,postgres,hodaoty,LOG,0.0,,,2025-10-04 20:59:49.320+07
7031,postgres,hodaoty,LOG,0.0,,,2025-10-04 20:59:49.320+07
7031,postgres,hodaoty,FATAL,0.0,,,2025-10-04 20:59:49.320+07
7031,postgres,hodaoty,DETAIL,0.0,,,2025-10-04 20:59:49.320+07
7048,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:00:08.376+07
7048,postgres,postgres,LOG,0.0,,,2025-10-04 21:00:08.377+07
